Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Sied van Riel, Bjorn Akesson - Regulators",Regulators(Original Mix),"SiedvanRiel,BjornAkesson",,Trance,132,F min,6:38,FSOE079
"Sied van Riel, Bjorn Akesson - Regulators",Regulators(Radio Edit),"SiedvanRiel,BjornAkesson",,Trance,132,F min,3:19,FSOE079
Simon O'Shine - Wuthering Heights,Wuthering Heights(Original Mix),SimonO'Shine,,Trance,138,G♭ maj,9:26,FSOE078
Simon O'Shine - Wuthering Heights,Wuthering Heights(Radio Edit),SimonO'Shine,,Trance,138,G♭ maj,4:16,FSOE078
Woody Van Eyden - Saripadanisa,Saripadanisa(Original Mix),WoodyVanEyden,,Trance,136,B min,7:17,FSOE077
Woody Van Eyden - Saripadanisa,Saripadanisa(Bjorn Akesson Filthy Mix),WoodyVanEyden,BjornAkesson,Trance,131,F maj,5:25,FSOE077
Woody Van Eyden - Saripadanisa,Saripadanisa(Dub Mix),WoodyVanEyden,,Trance,136,B min,7:17,FSOE077
Woody Van Eyden - Saripadanisa,Saripadanisa(Radio Edit),WoodyVanEyden,,Trance,136,B min,3:59,FSOE077
Woody Van Eyden - Saripadanisa,Saripadanisa(Bjorn Akesson Filthy Radio Edit),WoodyVanEyden,BjornAkesson,Trance,131,F maj,3:28,FSOE077
Bjorn Akesson - Slam!,Slam!(Original Mix),BjornAkesson,,Trance,131,E maj,6:17,FSOE076
Bjorn Akesson - Slam!,Slam!(Radio Edit),BjornAkesson,,Trance,131,E maj,3:18,FSOE076
